Column	key	total_citesOrg	URL_Citaciones	Actualizaciones	Incremento_Actualizacion	Cambios_Datos	Indexacion_MesAnterior	IPT	numberOfRecords	nombrecorto	type	organization	title	DOI_URL	created	year	month	day	modified	year-mod	month-mod	day-mod	version	NombreCorto_Org	Logo	typeOrg	publishingOrganizationKey	URLSocio
0	312fa2c0-7729-4727-94ac-018a5d43b862	127	https://www.gbif.org/resource/search?contentType=literature&publishingOrganizationKey=30ff48bd-4dd1-429d-a5a5-348c8e5fbfb1	Nuevo		0		sib	257.0	unimagdalena_coleccion_briofitos	Registros biologicos	Universidad del Magdalena	Colección de Briófitos del Centro de Colecciones Biológicas de la Universidad del Magdalena	http://doi.org/10.15472/xmnyqn	2022-09-29	2022	09	29	2022-09-29	2022	09	29	1.1	UniMagdalena	https://raw.githubusercontent.com/SIB-Colombia/logos/main/socio-SiB-unimagdalena.png	Academia	30ff48bd-4dd1-429d-a5a5-348c8e5fbfb1	http://www.gbif.org/publisher/30ff48bd-4dd1-429d-a5a5-348c8e5fbfb1
1	9d9624a1-fee8-4b6e-878c-f1332ba19088	127	https://www.gbif.org/resource/search?contentType=literature&publishingOrganizationKey=30ff48bd-4dd1-429d-a5a5-348c8e5fbfb1	Nuevo		0		sib	80.0	unimagdalena_coleccion_liquenes	Registros biologicos	Universidad del Magdalena	Colección de Líquenes del Centro de Colecciones Biológicas de la Universidad del Magdalena	http://doi.org/10.15472/ui7a6g	2022-09-29	2022	09	29	2022-09-29	2022	09	29	1.2	UniMagdalena	https://raw.githubusercontent.com/SIB-Colombia/logos/main/socio-SiB-unimagdalena.png	Academia	30ff48bd-4dd1-429d-a5a5-348c8e5fbfb1	http://www.gbif.org/publisher/30ff48bd-4dd1-429d-a5a5-348c8e5fbfb1
2	4d04dfb5-8998-4a82-9bcf-02043a7ba076	343	https://www.gbif.org/resource/search?contentType=literature&publishingOrganizationKey=eace4687-50e8-4f9a-829b-29ff8ff1fa8b	Nuevo		0		sib	1504.0	001_bio-rrbb_sc_2017005	Registros biologicos	"Jardín Botánico de Bogotá ""José Celestino Mutis"""	Caracterización de las plantas herbáceas de las microcuencas de Bogotá, D.C.	http://doi.org/10.15472/yluyx7	2022-09-29	2022	09	29	2022-09-29	2022	09	29		JBB	https://raw.githubusercontent.com/SIB-Colombia/logos/main/socio-SiB-jbb.png	Entidades Administrativas Territoriales	eace4687-50e8-4f9a-829b-29ff8ff1fa8b	http://www.gbif.org/publisher/eace4687-50e8-4f9a-829b-29ff8ff1fa8b
3	34ef808b-174d-4d99-8e9d-51b8409f277d	922	https://www.gbif.org/resource/search?contentType=literature&publishingOrganizationKey=2a7e3080-28a9-11dd-97cd-b8a03c50a862	Nuevo		0		iavh	127.0	rrbb_plantas_barranquilla-bc_2022	Registros biologicos	Instituto de Investigación de Recursos Biológicos Alexander von Humboldt	Registros biológicos de plantas útiles del proyecto expedición a una biodiverciudad - Barranquilla y sus alrededores	http://doi.org/10.15472/w1xzq8	2022-09-26	2022	09	26	2022-09-26	2022	09	26		IAvH	https://raw.githubusercontent.com/SIB-Colombia/logos/main/socio-SiB-iavh.png	Centros/Institutos de Investigación	2a7e3080-28a9-11dd-97cd-b8a03c50a862	http://www.gbif.org/publisher/2a7e3080-28a9-11dd-97cd-b8a03c50a862
4	931efbf1-7d59-43e5-a392-97d204da99c8	29	https://www.gbif.org/resource/search?contentType=literature&publishingOrganizationKey=d42b7e5d-a3e5-4fc2-8b3d-105336d70898	Nuevo		0		sib	1566.0	magdalena-epm	Registros biologicos	Empresas Públicas de Medellín E.S.P.	Biodiversidad asociada al proyecto Línea de Transmisión Magdalena Medio 230 kV	http://doi.org/10.15472/junowb	2022-09-26	2022	09	26	2022-09-26	2022	09	26		EPM	https://raw.githubusercontent.com/SIB-Colombia/logos/main/socio-SiB-epm.png	Empresas	d42b7e5d-a3e5-4fc2-8b3d-105336d70898	http://www.gbif.org/publisher/d42b7e5d-a3e5-4fc2-8b3d-105336d70898
5	38f7dbf5-a3a0-4048-9ef4-c5de912316cd	922	https://www.gbif.org/resource/search?contentType=literature&publishingOrganizationKey=2a7e3080-28a9-11dd-97cd-b8a03c50a862	Nuevo		0		iavh	40.0	reptiles_anh-putumayo_2022	Eventos de muestreo	Instituto de Investigación de Recursos Biológicos Alexander von Humboldt	Línea base regional de reptiles para el Putumayo (Orito)	http://doi.org/10.15472/tnvvk1	2022-09-23	2022	09	23	2022-09-30	2022	09	30	1.1	IAvH	https://raw.githubusercontent.com/SIB-Colombia/logos/main/socio-SiB-iavh.png	Centros/Institutos de Investigación	2a7e3080-28a9-11dd-97cd-b8a03c50a862	http://www.gbif.org/publisher/2a7e3080-28a9-11dd-97cd-b8a03c50a862
6	a6984792-9188-421a-8268-b002122d3d70	922	https://www.gbif.org/resource/search?contentType=literature&publishingOrganizationKey=2a7e3080-28a9-11dd-97cd-b8a03c50a862	Nuevo		0		iavh	147.0	anfibios_anh-putumayo_2022	Eventos de muestreo	Instituto de Investigación de Recursos Biológicos Alexander von Humboldt	Línea base regional de anfibios para el Putumayo (Orito)	http://doi.org/10.15472/f67pit	2022-09-23	2022	09	23	2022-09-23	2022	09	23		IAvH	https://raw.githubusercontent.com/SIB-Colombia/logos/main/socio-SiB-iavh.png	Centros/Institutos de Investigación	2a7e3080-28a9-11dd-97cd-b8a03c50a862	http://www.gbif.org/publisher/2a7e3080-28a9-11dd-97cd-b8a03c50a862
7	22615daa-7f09-4a71-8cdf-d168170e67dd	422	https://www.gbif.org/resource/search?contentType=literature&publishingOrganizationKey=5a45153b-bdf9-44ae-b7a7-e3261896540b	Nuevo		0		sib	1206.0	ut_humedales_fase_vii	Registros biologicos	Universidad del Tolima	Ajuste de los planes de manejo ambiental de los humedales del departamento de Tolima - Fase VII: Caracterización biológica y ambiental de seis humedales	http://doi.org/10.15472/1utne5	2022-09-23	2022	09	23	2022-09-23	2022	09	23		UT	https://raw.githubusercontent.com/SIB-Colombia/logos/main/socio-SiB-ut.png	Academia	5a45153b-bdf9-44ae-b7a7-e3261896540b	http://www.gbif.org/publisher/5a45153b-bdf9-44ae-b7a7-e3261896540b
8	c74b948e-eab9-4a6e-8ed3-5ffe49bc4895	422	https://www.gbif.org/resource/search?contentType=literature&publishingOrganizationKey=5a45153b-bdf9-44ae-b7a7-e3261896540b	Nuevo		0		sib	902.0	ut_corredores	Registros biologicos	Universidad del Tolima	Caracterización de la biodiversidad de la cuenca del río Chipalo (quebrada Ambalá) para el diseño de un corredor urbano y periurbano que facilite la conectividad ecológica en el municipio de Ibagué , Fase II	http://doi.org/10.15472/h1rfri	2022-09-23	2022	09	23	2022-09-23	2022	09	23		UT	https://raw.githubusercontent.com/SIB-Colombia/logos/main/socio-SiB-ut.png	Academia	5a45153b-bdf9-44ae-b7a7-e3261896540b	http://www.gbif.org/publisher/5a45153b-bdf9-44ae-b7a7-e3261896540b
9	c7271e0f-39b2-4a81-8f11-209b60e6dd84	374	https://www.gbif.org/resource/search?contentType=literature&publishingOrganizationKey=e1050db2-9faf-4d72-b860-295debaf9d2a	Nuevo		0		iiap	276.0	peceshumedalguineoiiap2016	Registros biologicos	Instituto de Investigaciones Ambientales del Pacífico John Von Neumann - IIAP	Ictiofauna asociada a la ciénaga de Guineo, Riosucio, Chocó	http://doi.org/10.15472/cpu2ta	2022-09-23	2022	09	23	2022-09-23	2022	09	23		IIAP	https://raw.githubusercontent.com/SIB-Colombia/logos/main/socio-SiB-iiap.png	Centros/Institutos de Investigación	e1050db2-9faf-4d72-b860-295debaf9d2a	http://www.gbif.org/publisher/e1050db2-9faf-4d72-b860-295debaf9d2a
